name,genre,cleanGenre,kmeans_label
Best of Things,hardcore,hardcore,1
Rough Boy,"blues, country, hard-rock, rock",country,2
Why I Don't Believe In God,grunge,grunge,2
The Man Who Sold The World,"alt-rock, alternative, grunge",alt-rock,2
Black or White,soul,soul,2
Last Time Forever,power-pop,power-pop,2
The Flame,"hard-rock, power-pop",power-pop,1
Hymn for the Weekend,pop,pop,2
The Lucky One,country,country,2
Going Down,blues,blues,2
Only the Lonely,"rock-n-roll, rockabilly",rock-n-roll,0
Even the Bad Times Are Good,honky-tonk,honky-tonk,1
Sugar,metal,metal,2
Don't Stay,"grunge, metal",metal,2
Cheek To Cheek,"blues, blues, blues, jazz, jazz, jazz, jazz",jazz,2
The Wedding Dream,death-metal,death-metal,2
"Mama, I'm Coming Home","hard-rock, metal",hard-rock,2
Still Breathing,punk,punk,2
By Myself,grunge,grunge,2
All My Life,grunge,grunge,2
Princess of the Possee,new-age,new-age,2
My Bucket's Got A Hole In It,honky-tonk,honky-tonk,2
Time in a Bottle,"country, folk, singer-songwriter, songwriter",folk,2
Maggie May,rock,rock,2
It's Not Unusual,british,british,1
Somebody Told Me,"alt-rock, alternative, dance",dance,2
Basket Case,punk,punk,2
In the End,grunge,grunge,2
Cold Cold Heart,honky-tonk,honky-tonk,1
Coming Undone,metal,metal,2
I'm A Long Gone Daddy,honky-tonk,honky-tonk,2
Christmas Time's A-Coming,"country, country, folk, folk, singer-songwriter, singer-songwriter, songwriter, songwriter",folk,0
Uma Thurman,emo,emo,0
In Dreams,"rock-n-roll, rockabilly",rock-n-roll,2
Round and Round,synth-pop,synth-pop,2
The Boy's Gone,acoustic,acoustic,0
Christmas Lights,"pop, pop, pop",pop,0
Satellite of Love,psych-rock,psych-rock,2
Shadows In Silence,new-age,new-age,2
Ain't No Use,"blues, jazz, soul",soul,2
I'LL BE GONE,"grunge, metal",metal,2
Fast Car,"folk, singer-songwriter, songwriter",folk,2
Rock Of Ages,hard-rock,hard-rock,0
Please Make Up Your Mind,honky-tonk,honky-tonk,1
Ramblin' Man,honky-tonk,honky-tonk,2
Pardon Me,grunge,grunge,2
Only Thing I Ever Get For Christmas,pop,pop,2
Don't Let Me Be Misunderstood,"blues, jazz",jazz,2
X,hardcore,hardcore,1
The Woman I Love,acoustic,acoustic,1
Rock'n Me,psych-rock,psych-rock,2
I'm Your Man,"disco, synth-pop",disco,1
I Feel for You,"disco, funk, soul",funk,1
In the Midnight Hour,rock-n-roll,rock-n-roll,0
I'll Fly for You,synth-pop,synth-pop,1
Rocket Queen,hard-rock,hard-rock,1
April In Paris,"blues, jazz",jazz,0
Anna Molly,grunge,grunge,0
Bridge Over Troubled Water,"rock-n-roll, rockabilly",rock-n-roll,2
A Thousand Years,"dance, pop, rock",dance,2
Play With Me,hard-rock,hard-rock,0
My Heart Would Know,honky-tonk,honky-tonk,2
Jesus of Suburbia,punk,punk,2
Ride,rock,rock,2
Fly Away,rock,rock,2
Mr. Jones,"alt-rock, alternative, alternative, rock, rock",alt-rock,4
Faint,"alternative, grunge, metal",alternative,2
Hosanna,alt-rock,alt-rock,0
The Day I Tried To Live,grunge,grunge,2
Nemo,"goth, opera",goth,0
Alone Together,emo,emo,2
Stand My Ground,goth,goth,2
Talking to the Moon,"dance, pop",dance,2
So Sick,dance,dance,2
Gotta Be Somebody,grunge,grunge,0
Only One,punk,punk,2
The Edge of Heaven,synth-pop,synth-pop,1
You and I Both,acoustic,acoustic,1
Everybody Loves Me,piano,piano,1
I'll Be Seeing You,"blues, jazz",jazz,2
Listen To Your Heart,swedish,swedish,1
It's My Life,"metal, rock",rock,2
Summertime Sadness,pop,pop,2
Knocks Me Off My Feet,"funk, indie",indie,2
The Nobodies,industrial,industrial,2
The Winner Takes It All,swedish,swedish,2
Don't Let Me Cross Over,honky-tonk,honky-tonk,2
Blow Up The Outside World,grunge,grunge,2
San Tropez,psych-rock,psych-rock,0
I Saw the Light,honky-tonk,honky-tonk,2
"Forever and Ever, Amen","country, gospel",gospel,2
Someday You'll Call My Name,honky-tonk,honky-tonk,1
The Man Who Can't Be Moved,rock,rock,1
King of All the World,power-pop,power-pop,2
A Sunday Kind Of Love,"blues, jazz",jazz,2
Ocean Avenue,punk,punk,2
Steady My Heart,world-music,world-music,1
Secrets,"piano, rock",piano,2
Lilac Wine,soul,soul,2
Wherever I May Roam,"hard-rock, metal",hard-rock,2
By the Way,"alt-rock, alternative, funk, metal, rock",funk,2
CASTLE OF GLASS,"alternative, grunge, metal",alternative,0
Crazy For You,british,british,1
One And Only,british,british,2
I Love It Loud,hard-rock,hard-rock,2
Ain't That Love,"blues, jazz, piano, soul",piano,1
Curbside Prophet,acoustic,acoustic,2
Ode to Solitude,goth,goth,1
Choices,honky-tonk,honky-tonk,2
Figured You Out,grunge,grunge,1
